105	0.078	1	0	task-3:0.06	task-0:0.134	task-1:0.204	task-2:0.132	|	0.0585418	0.0572306	0.0554092	0.0551528	0.0547938	0.0544642	0.0541182	0.0537802	0.0538804	0.053656	0.053616	0.0535475	0.0534785	0.0533661	0.0534019	0.0533119	0.0532962	0.0532665	0.0532305	0.0525891	0.0516128	0.0491419	0.0457065	0.0428999	0.0385723	0.0341659	0.0345249	0.0301743	0.0284406	0.0256564	0.0250785	0.0242104	0.0237834	0.0230165	0.0220396	0.0204394	0.0180098	0.01755	0.0154783	0.0148119	0.0137065	0.0122562	0.0114219	0.0112613	0.0105627	0.0103981	0.0100796	0.00951333	

79	0.031	1	0	task-3:0.048	task-0:0.144	task-1:0.21	task-2:0.14	|	0.05311	0.0530956	0.0530682	0.0530399	0.0529883	0.052924	0.0530023	0.0529699	0.0529062	0.0529023	0.0528948	0.0528857	0.0528762	0.0522804	0.0513287	0.0489205	0.04563	0.0432135	0.0394516	0.0353445	0.0312942	0.0304941	0.0283059	0.0240505	0.0211666	0.0185086	0.0170439	0.0157141	0.0158202	0.0144834	0.0140367	0.0136314	0.0130197	0.0119454	0.0111679	0.0108475	0.0100824	0.00977623	

79	0.031	1	0	task-3:0.048	task-0:0.144	task-1:0.21	task-2:0.14	|	0.05311	0.0530956	0.0530682	0.0530399	0.0529883	0.052924	0.0530023	0.0529699	0.0529062	0.0529023	0.0528948	0.0528857	0.0528762	0.0522804	0.0513287	0.0489205	0.04563	0.0432135	0.0394516	0.0353445	0.0312942	0.0304941	0.0283059	0.0240505	0.0211666	0.0185086	0.0170439	0.0157141	0.0158202	0.0144834	0.0140367	0.0136314	0.0130197	0.0119454	0.0111679	0.0108475	0.0100824	0.00977623	

79	0.047	1	0	task-3:0.048	task-0:0.144	task-1:0.21	task-2:0.14	|	0.05311	0.0530956	0.0530682	0.0530399	0.0529883	0.052924	0.0530023	0.0529699	0.0529062	0.0529023	0.0528948	0.0528857	0.0528762	0.0522804	0.0513287	0.0489205	0.04563	0.0432135	0.0394516	0.0353445	0.0312942	0.0304941	0.0283059	0.0240505	0.0211666	0.0185086	0.0170439	0.0157141	0.0158202	0.0144834	0.0140367	0.0136314	0.0130197	0.0119454	0.0111679	0.0108475	0.0100824	0.00977623	

79	0.047	1	0	task-3:0.048	task-0:0.144	task-1:0.21	task-2:0.14	|	0.05311	0.0530956	0.0530682	0.0530399	0.0529883	0.052924	0.0530023	0.0529699	0.0529062	0.0529023	0.0528948	0.0528857	0.0528762	0.0522804	0.0513287	0.0489205	0.04563	0.0432135	0.0394516	0.0353445	0.0312942	0.0304941	0.0283059	0.0240505	0.0211666	0.0185086	0.0170439	0.0157141	0.0158202	0.0144834	0.0140367	0.0136314	0.0130197	0.0119454	0.0111679	0.0108475	0.0100824	0.00977623	

79	0.047	1	0	task-3:0.048	task-0:0.144	task-1:0.21	task-2:0.14	|	0.05311	0.0530956	0.0530682	0.0530399	0.0529883	0.052924	0.0530023	0.0529699	0.0529062	0.0529023	0.0528948	0.0528857	0.0528762	0.0522804	0.0513287	0.0489205	0.04563	0.0432135	0.0394516	0.0353445	0.0312942	0.0304941	0.0283059	0.0240505	0.0211666	0.0185086	0.0170439	0.0157141	0.0158202	0.0144834	0.0140367	0.0136314	0.0130197	0.0119454	0.0111679	0.0108475	0.0100824	0.00977623	
