58	0.015	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

58	0.016	1	0	task-0:0.47	|	0.220733	0.306906	0.306117	0.250104	0.222668	0.237209	0.237185	0.225362	0.223648	0.223646	0.222316	0.222316	0.222373	0.222374	0.222203	0.222377	0.222378	0.222242	0.222211	0.222212	0.222211	0.222213	0.222212	0.222214	0.222217	0.222219	0.22222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.221349	0.209876	0.209876	0.22101	0.221814	0.221329	

61	0.015	1	0	task-0:0.47	|	0.227026	0.269516	0.267269	0.243512	0.223783	0.241504	0.240672	0.22422	0.224965	0.224924	0.22213	0.224806	0.224759	0.222427	0.22207	0.222065	0.221906	0.221934	0.222007	0.222084	0.22212	0.222165	0.222142	0.222004	0.221699	0.221158	0.22019	0.218526	0.215512	0.215381	0.21695	0.21849	0.218505	0.217798	0.217832	0.218373	0.218675	0.218958	0.21936	0.219851	0.22039	0.22092	0.221386	0.221748	0.221993	0.222133	0.222195	0.222214	0.222218	0.222222	0.222224	0.222224	0.222222	0.222223	0.222223	0.222222	0.222223	0.222223	0.222222	0.222209	0.222112	

58	0.016	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

58	0.031	1	0	task-0:0.47	|	0.220733	0.306906	0.306117	0.250104	0.222668	0.237209	0.237185	0.225362	0.223648	0.223646	0.222316	0.222316	0.222373	0.222374	0.222203	0.222377	0.222378	0.222242	0.222211	0.222212	0.222211	0.222213	0.222212	0.222214	0.222217	0.222219	0.22222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.221349	0.209876	0.209876	0.22101	0.221814	0.221329	

