78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

97	0	1	0	task-0:0.294	|	0.22577	0.217657	0.214642	0.210549	0.20991	0.208024	0.207722	0.20741	0.206736	0.206526	0.205877	0.205015	0.204831	0.204188	0.203575	0.203405	0.202965	0.202646	0.202062	0.200921	0.200306	0.219585	0.198759	0.198657	0.198399	0.198065	0.198692	0.197955	0.19788	0.197769	0.197508	0.197276	0.197572	0.197137	0.197073	0.172061	0.163098	0.14713	0.134892	0.132301	0.123338	0.105331	0.0798626	0.06062	0.0570943	0.0474521	0.0316293	0.0199302	

78	0.016	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

347	0.031	2	0	task-0:0.34	|	0.425624	0.219411	0.219291	0.21711	0.21619	0.214478	0.211908	0.213078	0.213098	0.208666	0.208444	0.207889	0.206963	0.20609	0.206702	0.205648	0.205208	0.204605	0.203291	0.20124	0.209426	0.210873	0.20035	0.200217	0.199725	0.199154	0.198933	0.198543	0.198403	0.198309	0.19813	0.197993	0.19771	0.197614	0.197806	0.186068	0.183093	0.174567	0.165973	0.165257	0.157206	0.15493	0.15081	0.145072	0.143997	0.140341	0.139564	0.139351	0.138328	0.137028	0.136614	0.136534	0.135708	0.134897	0.134891	0.134734	0.133749	0.133024	0.131413	0.131393	0.13327	0.129008	0.129043	0.128861	0.128006	0.126292	0.12806	0.137609	0.123353	0.123484	0.122938	0.122487	0.12233	0.122459	0.121929	0.121546	0.121353	0.121292	0.120712	0.120602	0.120217	0.119584	0.118943	0.118938	0.118519	0.118228	0.117823	0.117048	0.116193	0.11909	0.115182	0.114315	0.11417	0.11376	0.113368	0.112886	0.112318	0.11178	0.111086	0.11076	0.110271	0.110087	0.109574	0.108669	0.106764	0.106501	0.125166	0.103612	0.103401	0.102875	0.101771	0.100555	0.107969	0.0998675	0.099694	0.0992839	0.0984807	0.0979653	0.0991406	0.097236	0.0970787	0.0967212	0.0961275	0.0962786	0.0958489	0.0956076	0.0953525	0.0947686	0.0935492	0.0911535	0.0866988	0.0791955	0.195073	0.146181	0.0922288	0.0892978	0.0872549	0.0857344	0.0824316	0.076488	0.0805755	0.114837	0.0723812	0.072109	0.0720022	0.0719552	0.0718721	0.0717735	0.0716567	0.0715556	0.0713723	0.0713402	0.0712619	0.0710448	0.0710361	0.0631542	0.0568552	0.0565682	0.0550817	0.0520419	0.0471584	0.0397222	0.0329191	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

