52	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0380226	0.000961449	2.44327e-007	1.04112e-010	5.82031e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0333132	0.000316179	3.41086e-006	1.88135e-008	1.8871e-011	0	0	0	0	0	2.09372e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0453151	0.00972182	0.000587621	7.37392e-006	5.34189e-008	7.41879e-010	8.80626e-012	4.4621e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0328765	9.5161e-005	1.11279e-007	9.39466e-010	2.32332e-010	1.09707e-013	0	0	0	0	0	0	0	0	5.63783e-015	0	0	3.40715e-015	0	0	0	0	0	1.87259e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00921767	0.000318707	7.55639e-006	9.70229e-008	1.3642e-010	1.29848e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00767716	4.9569e-005	1.40889e-007	1.39951e-009	5.64194e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2409e-015	0	0	0	0	3.63291e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0115649	0.000389383	1.44781e-005	1.76139e-007	3.58793e-010	2.5584e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0564804	0.00117208	2.58802e-006	5.8314e-008	3.6677e-010	6.52207e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0323449	0.000778046	3.59174e-006	5.14046e-008	4.8105e-011	1.32343e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0373319	0.00120351	1.52403e-005	9.11216e-008	2.5872e-010	8.82857e-014	0	0	0	0	4.31438e-015	0	2.17525e-015	0	0	0	0	0	0	0	2.13975e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0158092	0.00011649	3.77836e-007	6.50518e-009	4.03528e-012	0	0	0	0	3.06087e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45522e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0349482	0.000830413	6.26636e-005	1.21191e-005	1.88875e-007	3.6428e-010	8.70547e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0289953	0.00052398	9.63779e-007	3.19823e-009	2.48933e-010	1.29879e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.28124e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

